Grafo,Execução,Algoritmo,Fit Inicial,Fit Final,Tempo Execução (s),Ganho Relativo (%)
berlin52,1,AG Original,27011.593670628463,15166.387133453078,0.8809611797332764,43.8523053530732
berlin52,1,AG 1DeleteCross,25608.58318152625,9409.933928772252,9.51139783859253,63.254765552354044
berlin52,1,AG 1DC-Solucao-Cluster2x2,25807.791237010744,12146.781259414935,3.518418550491333,52.93366585360728
berlin52,1,AG 1DC-AG-Cluster2x2,26109.829353245746,9794.612754927226,6.238221883773804,62.486875642066785
berlin52,2,AG Original,25958.918518332317,13193.964082919729,0.9501833915710449,49.173675807788044
berlin52,2,AG 1DeleteCross,25184.714885027566,10299.752034086956,6.006950616836548,59.10316205243122
berlin52,2,AG 1DC-Solucao-Cluster2x2,25871.196211359464,11711.32919414355,1.7773725986480713,54.73216971312147
berlin52,2,AG 1DC-AG-Cluster2x2,25454.606358217876,9512.976360914075,6.433792352676392,62.62768228649953
berlin52,3,AG Original,25529.5978798697,12179.161062549085,0.883697509765625,52.29395652897277
berlin52,3,AG 1DeleteCross,26604.812924547194,9621.785711035696,5.163768529891968,63.83441695935377
berlin52,3,AG 1DC-Solucao-Cluster2x2,24652.415333100165,11187.0036574648,3.2193593978881836,54.62106448269879
berlin52,3,AG 1DC-AG-Cluster2x2,26476.23267839781,8628.83727787039,6.221273183822632,67.40911978421033
berlin52,4,AG Original,26072.009684074666,12968.87975893525,0.87894606590271,50.257460333574066
berlin52,4,AG 1DeleteCross,26439.40628236495,8809.479264932606,3.109999418258667,66.68049512591168
berlin52,4,AG 1DC-Solucao-Cluster2x2,27027.660095003528,11137.179564456163,3.3690783977508545,58.79340081491169
berlin52,4,AG 1DC-AG-Cluster2x2,25498.142690670524,9214.805673599489,4.698381423950195,63.8608749453305
berlin52,5,AG Original,25523.193483275354,14801.946284759859,0.879591703414917,42.00590026299347
berlin52,5,AG 1DeleteCross,25243.54599393729,9475.624575235937,3.26605486869812,62.46317939044028
berlin52,5,AG 1DC-Solucao-Cluster2x2,25827.507235700934,11153.361414886134,1.8217477798461914,56.81595860916446
berlin52,5,AG 1DC-AG-Cluster2x2,27343.64830425689,9977.22014268722,5.613696575164795,63.51174491542171
berlin52,6,AG Original,26025.33167596172,14511.073271126115,0.8810584545135498,44.24250398879927
berlin52,6,AG 1DeleteCross,25680.378091271563,9508.907866128795,2.7504236698150635,62.97208774601043
berlin52,6,AG 1DC-Solucao-Cluster2x2,26036.089536326228,11765.801666389372,3.4158620834350586,54.809643552756185
berlin52,6,AG 1DC-AG-Cluster2x2,25361.532725622816,8829.548145750947,5.749562740325928,65.18527392932197
berlin52,7,AG Original,25565.93130993114,12244.588208703917,0.8833997249603271,52.105839367770336
berlin52,7,AG 1DeleteCross,25301.767869736075,8939.422353217902,2.7686872482299805,64.66878362317712
berlin52,7,AG 1DC-Solucao-Cluster2x2,25909.33914570406,11625.894134732365,3.7599759101867676,55.12855781711431
berlin52,7,AG 1DC-AG-Cluster2x2,26377.72342801307,10563.162402673219,6.026174306869507,59.95423019920222
berlin52,8,AG Original,26646.01299485362,13875.255237163741,0.8842751979827881,47.92746201901353
berlin52,8,AG 1DeleteCross,24664.42401348027,10488.355713666797,2.4415647983551025,57.47577276511945
berlin52,8,AG 1DC-Solucao-Cluster2x2,24672.927398041626,12467.168179534765,3.7517342567443848,49.47025142819361
berlin52,8,AG 1DC-AG-Cluster2x2,25658.096339858384,9443.605676957164,4.767895460128784,63.19444142749179
berlin52,9,AG Original,26200.650313715258,12803.89504402775,0.8881645202636719,51.13138456214084
berlin52,9,AG 1DeleteCross,26287.295650592598,10947.123755270954,2.270576238632202,58.35583887829796
berlin52,9,AG 1DC-Solucao-Cluster2x2,25646.617961366035,12215.881639213485,3.070986747741699,52.368450071602254
berlin52,9,AG 1DC-AG-Cluster2x2,25646.85216426711,8817.500264819928,6.1410651206970215,65.61956138576315
berlin52,10,AG Original,26179.923652565227,15787.950696064107,0.8812069892883301,39.69443568443282
berlin52,10,AG 1DeleteCross,24750.63162676198,9753.301941255593,2.6102700233459473,60.59372508817232
berlin52,10,AG 1DC-Solucao-Cluster2x2,24277.49458323928,11985.06629091119,3.295700788497925,50.63301837090945
berlin52,10,AG 1DC-AG-Cluster2x2,22904.38722066856,9750.54289026626,4.41724705696106,57.42936584014995
berlin52,11,AG Original,25655.221316700066,13467.929133548607,0.8814148902893066,47.50413973321773
berlin52,11,AG 1DeleteCross,26525.266725624366,9823.66261501193,2.5886948108673096,62.964886586712744
berlin52,11,AG 1DC-Solucao-Cluster2x2,26450.1999299916,10877.0221305286,2.490243434906006,58.877353822209635
berlin52,11,AG 1DC-AG-Cluster2x2,25305.93620306954,9209.832506319195,4.25430154800415,63.60603918221342
berlin52,12,AG Original,26547.64081928027,14067.71907981318,0.8861081600189209,47.00953212536884
berlin52,12,AG 1DeleteCross,26519.739499566975,9995.40492952997,2.712759494781494,62.30956593788118
berlin52,12,AG 1DC-Solucao-Cluster2x2,25655.733503358715,12049.23392675129,3.5071284770965576,53.03492716287427
berlin52,12,AG 1DC-AG-Cluster2x2,26095.138898789493,9655.519781511966,8.49184536933899,62.99877989168371
berlin52,13,AG Original,24466.81033912631,14124.09501773206,0.8831732273101807,42.272430194362556
berlin52,13,AG 1DeleteCross,25242.642506237273,9302.795727281278,8.86562728881836,63.14650605623946
berlin52,13,AG 1DC-Solucao-Cluster2x2,25283.22160130992,13394.339374847339,3.46771502494812,47.022813840490244
berlin52,13,AG 1DC-AG-Cluster2x2,25390.433439422108,9845.142208002455,5.629714488983154,61.22499353352302
berlin52,14,AG Original,26139.63208144188,14283.04149779574,0.8857862949371338,45.35867431762307
berlin52,14,AG 1DeleteCross,26491.815695104295,9465.346155550384,2.9711074829101562,64.2706779162004
berlin52,14,AG 1DC-Solucao-Cluster2x2,25940.00571304712,10971.821857746907,3.309112071990967,57.70308619389248
berlin52,14,AG 1DC-AG-Cluster2x2,26093.40591311808,9831.012696106616,4.681493043899536,62.32376590146779
berlin52,15,AG Original,25499.500526100575,12284.62398408487,0.8852839469909668,51.82406035165014
berlin52,15,AG 1DeleteCross,26232.03416840289,9214.842174873804,3.0486302375793457,64.87179714803321
berlin52,15,AG 1DC-Solucao-Cluster2x2,24715.194969925007,11522.772679415957,3.732712507247925,53.377779566628604
berlin52,15,AG 1DC-AG-Cluster2x2,25471.509573929754,10343.026664476098,4.922394752502441,59.39374290143271
berlin52,16,AG Original,25819.042964199856,14535.342197739494,0.8846378326416016,43.70301711843504
berlin52,16,AG 1DeleteCross,25139.168465674175,9470.542622907631,2.8606035709381104,62.327542234187206
berlin52,16,AG 1DC-Solucao-Cluster2x2,26222.879155651914,12167.222487790934,3.1382389068603516,53.6007376780803
berlin52,16,AG 1DC-AG-Cluster2x2,25117.120707864975,9255.612058171746,6.008165597915649,63.15018681550741
berlin52,17,AG Original,26874.004358843315,12892.20094977675,0.8922064304351807,52.02724246960104
berlin52,17,AG 1DeleteCross,26077.383044428192,9981.23209091144,2.777186870574951,61.724563872431695
berlin52,17,AG 1DC-Solucao-Cluster2x2,25717.357771470462,12172.79937303773,2.530808925628662,52.666990593638594
berlin52,17,AG 1DC-AG-Cluster2x2,25264.293456044154,9365.575556336298,6.1402435302734375,62.929596378260456
berlin52,18,AG Original,25345.736711975605,13664.141975323824,0.8809792995452881,46.0889926751758
berlin52,18,AG 1DeleteCross,25531.860781408333,9392.111495102914,3.8482141494750977,63.214152013777166
berlin52,18,AG 1DC-Solucao-Cluster2x2,26226.98459745981,11301.01382801518,3.33107590675354,56.91073906716013
berlin52,18,AG 1DC-AG-Cluster2x2,25900.018429257692,9454.289037805376,5.617408752441406,63.49697949587004
berlin52,19,AG Original,25602.7281467381,12297.66443442234,0.8956153392791748,51.96736705580683
berlin52,19,AG 1DeleteCross,26210.975565450983,9859.937366714275,2.597522735595703,62.38240983402852
berlin52,19,AG 1DC-Solucao-Cluster2x2,25859.283779751328,12128.960342205677,3.225304126739502,53.09630210368373
berlin52,19,AG 1DC-AG-Cluster2x2,26127.63689941664,9785.833814435793,5.533416271209717,62.54604328700586
berlin52,20,AG Original,25281.555408255048,14260.594072628106,0.8871753215789795,43.59289275385457
berlin52,20,AG 1DeleteCross,25872.661423706697,10317.158519054372,2.484987497329712,60.12331955304402
berlin52,20,AG 1DC-Solucao-Cluster2x2,26302.306353257187,11598.461484954953,3.401294708251953,55.903253010667484
berlin52,20,AG 1DC-AG-Cluster2x2,26678.417286715077,10035.408275141495,5.830397367477417,62.383794483420196
ch150,1,AG Original,49519.74821088934,29193.557979887344,4.285099506378174,41.0466348585599
ch150,1,AG 1DeleteCross,50336.05719454683,19069.213678403565,12.773786544799805,62.11619514674774
ch150,1,AG 1DC-Solucao-Cluster2x2,50256.00531613833,9042.852864382237,12.753568649291992,82.00642329708133
ch150,1,AG 1DC-AG-Cluster2x2,50301.89877174096,9407.213883414353,29.970191955566406,81.29849148219586
ch150,2,AG Original,49114.870081837464,29065.61184320704,4.287319898605347,40.82115702479396
ch150,2,AG 1DeleteCross,49281.37505998228,19455.117876338834,13.259706258773804,60.522372087509225
ch150,2,AG 1DC-Solucao-Cluster2x2,48755.87224711443,9865.547603830433,8.964844465255737,79.76541665826865
ch150,2,AG 1DC-AG-Cluster2x2,49614.31343247729,9622.34520682432,34.09768295288086,80.60570722213082
ch150,3,AG Original,47858.712759895054,27676.561351613873,4.245019197463989,42.1702763079611
ch150,3,AG 1DeleteCross,49989.621823738715,19640.65711066719,12.149092197418213,60.71053071791718
ch150,3,AG 1DC-Solucao-Cluster2x2,50057.2251768066,10005.703155065863,16.682982683181763,80.01147063241156
ch150,3,AG 1DC-AG-Cluster2x2,49642.31767215274,10211.169547762329,28.89068341255188,79.43051407229045
ch150,4,AG Original,47005.610398701116,30428.130551903952,4.2572996616363525,35.26702388541952
ch150,4,AG 1DeleteCross,47321.104827243566,20951.138945773073,11.582602739334106,55.72559215965063
ch150,4,AG 1DC-Solucao-Cluster2x2,49502.66407004577,9441.999879151006,12.408628940582275,80.92627930935056
ch150,4,AG 1DC-AG-Cluster2x2,48714.78086086566,9852.982602559436,27.946094274520874,79.77414158815462
ch150,5,AG Original,50232.099554089895,30231.284416503415,4.266826629638672,39.8168010398403
ch150,5,AG 1DeleteCross,48262.300780336605,19785.576571668946,12.904189348220825,59.00407512331004
ch150,5,AG 1DC-Solucao-Cluster2x2,49164.73696858824,9478.746507307169,10.071468114852905,80.72043685830512
ch150,5,AG 1DC-AG-Cluster2x2,50041.05851452682,9880.309199887703,35.2563898563385,80.25559511891727
ch150,6,AG Original,49833.81769247815,29512.99151188411,4.242374420166016,40.777181282784284
ch150,6,AG 1DeleteCross,48743.38028856457,18527.408091583075,13.573851346969604,61.989898973154126
ch150,6,AG 1DC-Solucao-Cluster2x2,49947.92622230932,9562.702513196875,12.71296501159668,80.85465556540828
ch150,6,AG 1DC-AG-Cluster2x2,49448.281300375595,9468.970579916488,32.081451416015625,80.85075895277969
ch150,7,AG Original,47885.35092961581,28392.403856547367,4.247249126434326,40.707537262742655
ch150,7,AG 1DeleteCross,49678.25324961414,19716.219801793868,13.032060861587524,60.31217180135655
ch150,7,AG 1DC-Solucao-Cluster2x2,49287.747100687055,9763.270944999074,11.894021987915039,80.19128177018467
ch150,7,AG 1DC-AG-Cluster2x2,49928.710206813965,9892.94645524873,31.845470428466797,80.18585616517969
ch150,8,AG Original,48527.80674882732,30088.727641670263,4.254864692687988,37.996934834897814
ch150,8,AG 1DeleteCross,48910.28995796802,19475.45127510837,13.160033464431763,60.18128027487679
ch150,8,AG 1DC-Solucao-Cluster2x2,49507.55790842555,10034.3770414346,13.745135307312012,79.73162590650249
ch150,8,AG 1DC-AG-Cluster2x2,50519.390555407525,9846.111331259544,28.809285163879395,80.51023335196264
ch150,9,AG Original,49570.04585447523,30424.412903902074,4.294890642166138,38.62339164821385
ch150,9,AG 1DeleteCross,50152.302155714555,16034.801977307887,13.078280448913574,68.02778479136911
ch150,9,AG 1DC-Solucao-Cluster2x2,49449.42977575973,9638.280501954008,10.074867010116577,80.508813659407
ch150,9,AG 1DC-AG-Cluster2x2,48847.69661503936,9367.176520282836,31.778989553451538,80.82370885549832
ch150,10,AG Original,49606.36185671926,28061.25844070921,4.2787392139434814,43.432137753298534
ch150,10,AG 1DeleteCross,50425.79008794041,17160.457685236903,14.471532344818115,65.96888684280445
ch150,10,AG 1DC-Solucao-Cluster2x2,49005.52467252219,9553.96004813839,13.843781232833862,80.50432045778018
ch150,10,AG 1DC-AG-Cluster2x2,49357.64498575699,9897.095843092564,38.14731764793396,79.94820083910295
ch150,11,AG Original,49831.57356255218,29814.831483234197,4.267873048782349,40.16879389568448
ch150,11,AG 1DeleteCross,49355.643911704705,19893.06774399229,12.86413836479187,59.69444187663684
ch150,11,AG 1DC-Solucao-Cluster2x2,47903.4583225647,9680.404075298135,14.602043867111206,79.79184715618283
ch150,11,AG 1DC-AG-Cluster2x2,49399.25878318757,10453.195287270577,30.72421884536743,78.83936815094847
ch150,12,AG Original,48277.0948899413,28841.324936204088,4.299152374267578,40.25878110115263
ch150,12,AG 1DeleteCross,49578.446058187874,19903.725403793236,12.667955875396729,59.85407574002385
ch150,12,AG 1DC-Solucao-Cluster2x2,50174.016998333274,9748.333088257557,12.510519742965698,80.57095351049651
ch150,12,AG 1DC-AG-Cluster2x2,45561.8729101973,9503.044025860705,39.293564796447754,79.1425518336543
ch150,13,AG Original,48770.400009275705,28631.03324722792,4.253161191940308,41.294241503488706
ch150,13,AG 1DeleteCross,49705.061358547144,19314.23339813518,12.352398872375488,61.14232058016772
ch150,13,AG 1DC-Solucao-Cluster2x2,50689.60353334177,9401.713992634393,15.141843557357788,81.45238207189706
ch150,13,AG 1DC-AG-Cluster2x2,49646.04462766393,9117.318977944755,35.14323711395264,81.63535676140376
ch150,14,AG Original,49316.96101122948,28660.612717309148,4.271044969558716,41.88487666386597
ch150,14,AG 1DeleteCross,48835.9910693642,20561.93912103662,11.709672927856445,57.89593152347115
ch150,14,AG 1DC-Solucao-Cluster2x2,49097.565679642445,10231.253653871663,10.25503134727478,79.1613830293955
ch150,14,AG 1DC-AG-Cluster2x2,48516.86669997523,9582.274737321122,37.58722543716431,80.24960103755832
ch150,15,AG Original,49354.99244721109,29021.218863100923,4.262333154678345,41.19902075936629
ch150,15,AG 1DeleteCross,50160.588870820866,18197.406703635625,13.130661010742188,63.72170440323256
ch150,15,AG 1DC-Solucao-Cluster2x2,50638.47644598934,10140.491672479437,13.811175107955933,79.9747299204485
ch150,15,AG 1DC-AG-Cluster2x2,49769.097561092676,9479.972995662863,28.40181279182434,80.95208983038926
ch150,16,AG Original,49640.244714705535,29528.709835679732,4.288574934005737,40.51457641800851
ch150,16,AG 1DeleteCross,50304.629397889905,20881.15620004398,12.471091985702515,58.49058734757349
ch150,16,AG 1DC-Solucao-Cluster2x2,48186.66335847097,9540.41646184406,13.218364953994751,80.20112662528459
ch150,16,AG 1DC-AG-Cluster2x2,48485.62134097882,10040.959270210134,28.08972477912903,79.29085161228248
ch150,17,AG Original,49400.60191933258,31399.74686179726,4.278295516967773,36.43853386023382
ch150,17,AG 1DeleteCross,49218.29168599196,19190.193269476043,13.604877710342407,61.01003791048324
ch150,17,AG 1DC-Solucao-Cluster2x2,48471.12200243567,9907.290971722869,12.916426658630371,79.56042574953179
ch150,17,AG 1DC-AG-Cluster2x2,50439.67306386448,9112.641888785804,35.68787121772766,81.93358256456624
ch150,18,AG Original,49485.782290674695,30300.637360181812,4.308953523635864,38.76900402988721
ch150,18,AG 1DeleteCross,50575.21817171146,19453.472569880796,12.047955989837646,61.53556371455887
ch150,18,AG 1DC-Solucao-Cluster2x2,50574.76722040008,10308.737380891118,10.319763660430908,79.61683672024311
ch150,18,AG 1DC-AG-Cluster2x2,49525.85112104481,9880.457977258917,32.180275201797485,80.0498976724088
ch150,19,AG Original,49787.87343782351,29514.094605779846,4.274649620056152,40.72031487217892
ch150,19,AG 1DeleteCross,49181.19453247481,18679.440102623837,12.547983646392822,62.01914109611627
ch150,19,AG 1DC-Solucao-Cluster2x2,48530.86195287264,10295.181349573344,13.923429012298584,78.78632083730392
ch150,19,AG 1DC-AG-Cluster2x2,48024.96940504428,9255.965459490457,33.37327694892883,80.72676448489676
ch150,20,AG Original,49593.14613639437,29348.49776762105,4.252225160598755,40.82146414566065
ch150,20,AG 1DeleteCross,47581.23606546443,20681.069071815833,13.126901149749756,56.535242078701195
ch150,20,AG 1DC-Solucao-Cluster2x2,50148.24809408626,9568.372294734538,15.399133920669556,80.91982739500149
ch150,20,AG 1DC-AG-Cluster2x2,49468.180267796524,9321.46292541407,38.405559062957764,81.15664882970785
rd400,1,AG Original,200922.6063300396,127454.27146585322,24.92841863632202,36.56548967093617
rd400,1,AG 1DeleteCross,201719.74616270507,83204.05467451061,54.164085388183594,58.752647543290536
rd400,1,AG 1DC-Solucao-Cluster2x2,198563.39651862363,35950.86267250048,30.643133878707886,81.89451666177125
rd400,1,AG 1DC-AG-Cluster2x2,199625.28937736107,35512.391776278884,120.23984408378601,82.21047449096085
rd400,2,AG Original,202339.26656580387,126163.13718181285,24.779168128967285,37.647724377422
rd400,2,AG 1DeleteCross,199370.83166491543,78184.96266186704,55.25633406639099,60.78415181952328
rd400,2,AG 1DC-Solucao-Cluster2x2,201966.6208380903,37240.81812806767,29.554200172424316,81.56090448335898
rd400,2,AG 1DC-AG-Cluster2x2,200131.88318774948,37706.421023342526,118.2135112285614,81.15921340330914
rd400,3,AG Original,201403.24415301072,126558.57090939385,24.608378648757935,37.16160261388622
rd400,3,AG 1DeleteCross,201147.7212240554,80350.86619089176,54.245243310928345,60.05380239859136
rd400,3,AG 1DC-Solucao-Cluster2x2,198980.90895908955,36941.210169483806,29.598296403884888,81.43479675375345
rd400,3,AG 1DC-AG-Cluster2x2,202479.25350419572,36680.379215429566,118.6439094543457,81.8843765074087
rd400,4,AG Original,203163.5634328854,132101.81228151725,24.82688045501709,34.977606196026
rd400,4,AG 1DeleteCross,198469.0460098955,79707.49208240089,58.57118058204651,59.8388294371976
rd400,4,AG 1DC-Solucao-Cluster2x2,199843.19467534972,37450.67979837968,28.235209465026855,81.25996741634397
rd400,4,AG 1DC-AG-Cluster2x2,200036.0046040211,35755.541615339724,116.38971757888794,82.12544702334003
rd400,5,AG Original,202596.29227469472,123513.2827369649,24.749322414398193,39.03477632774411
rd400,5,AG 1DeleteCross,200602.7436838292,84433.12693971655,52.52222919464111,57.91028308526431
rd400,5,AG 1DC-Solucao-Cluster2x2,198374.52574292815,36599.47936129529,29.84788966178894,81.55031286188216
rd400,5,AG 1DC-AG-Cluster2x2,199108.0902244944,37704.665695784104,122.13963270187378,81.06321764561547
rd400,6,AG Original,199059.16318119608,127953.9816613122,24.629537105560303,35.720627166085045
rd400,6,AG 1DeleteCross,201994.8615227072,85221.68074023128,53.61532115936279,57.8099759083965
rd400,6,AG 1DC-Solucao-Cluster2x2,200912.3005273628,37745.03240971597,29.483588218688965,81.21317992445397
rd400,6,AG 1DC-AG-Cluster2x2,201309.09247452274,38639.754518533155,121.30116105079651,80.80575792997362
